"Vietnamese","vie",67778030,"SoutheastAsia","Austro-asiatic",0,"Вьетнамский","Vietnamesisch","ベトナム語","Vietnamita","Vietnamien","越南语","Vietnamita","Vietnamita","Wietnamski","Vietnamees","Fietnameg"
"Ukrainian","ukr",36048890,"Europe","Indo-European",0,"Украинский","Ukrainisch","ウクライナ語","Ucraniano","Ukrainien","乌克兰语","Ucraniano","Ucraino","Ukraiński","Oekraïens","Wcreineg"
"Mandarin","cmn",847808270,"SoutheastAsia","Sino-Tibetan",0,"Китайский","Chinesisch","中国語","Chino","Chinois","官话","Chinês","Cinese","Chiński","Chinees","Tseineeg"
"Russian","rus",167332230,"InnerAsia","Indo-European",0,"Русский","Russisch","ロシア語","Ruso","Russe","俄语","Russo","Russo","Rosyjski","Russisch","Rwseg"
"Japanese","jpn",122056940,"NCoastAsia","Japonic",0,"Японский","Japanisch","日本語","Japonés","Japonais","日语","Japonês","Giapponese","Japoński","Japans","Japaneg"
"Spanish","spa",414170030,"Europe","Indo-European",0,"Испанский","Spanisch","スペイン語","Español","Espagnol","西班牙语","Espanhol","Spagnolo","Hiszpański","Spaans","Sbaeneg"
"Korean","kor",77166230,"SoutheastAsia","Isolate",0,"Корейский","Koreanisch","朝鮮語","Coreano","Coréen","朝鮮語","Coreano","Coreano","Koreański","Koreaans","Corëeg"
"Italian","ita",63655047,"Europe","Indo-European",0,"Итальянский","Italienisch","イタリア語","Italiano","Italien","意大利语","Italiano","Italiano","Włoski","Italiaans","Eidaleg"
"German","deu",78245280,"Europe","Indo-European",0,"Немецкий","Deutsch","ドイツ語","Alemán","Allemand","","Alemão","Tedesco","Niemiecki","Duits","Almaeneg"
"French","fra",74980460,"Europe","Indo-European",0,"Французский","Französisch","フランス語","Francés","Français","法语","Francês","Francese","Francuski","Frans","Ffrangeg"
"Akie","mwy",0,NA,"Nilotic",1,"","","","","","","","","","",""
"Bayso","bsw",2000,NA,"Cushitic",1,"","Bayso","","","","","","","","",""
"Bora","boa",3000,NA,"Boran",1,"Бора","","","Idioma bora","","","Língua bora","","","",""
"Chintang","ctn",3710,NA,"Sino-Tibetan",1,"","","","","","","","","","",""
"Chipaya","cap",2000,NA,"Uru-Chipaya",1,"Чипайя","","","Idioma chipaya","Puquina","","","","","",""
"Haro","kcx",200,NA,"Omotic",1,"","","","","","","","","","",""
"Kómnzo","tci",200,NA,"Morehead-Wasur",1,"","","","","","","","","","",""
"Lacandon","lac",350,NA,"Mayan",1,"Лакандонский язык","Lakandonisch","","Idioma lacandón","","","Língua lacandona","","","",""
"Even","eve",3000,NA,"",1,"Эвенский язык","Ewenische sprache","","Idioma even","Évène","","Língua even","Lingua evena","Język eweński","Eveens",""
"Svan","sva",15000,NA,"Kartvelian",1,"Сванский язык","Swanische sprache","スヴァン語","Idioma esvano","Svane","","Língua svan","Lingua svan","Język swański","Svanetisch",""
"Tima","tms",5000,NA,"Katla-Tima",1,"","","","","","","","","","",""
"Uru","ure",2,NA,"Uru-Chipaya",1,"Уру","","","Idioma uru","","","","","","",""
"Wooi","wbw",1800,NA,"Austronesian",1,"","","","","","","","","","",""
"Siwu","akp",27000,NA,"",0,"","","","","","","","","","",""
"West Ambrym","ambx",3000,NA,"",1,"","","","","","","","","","",""
"Sanzhi","dar",300,NA,"Nakh-Daghestanian",1,"","","","","","","","","","",""
"Cashinahua","cbs",1150,NA,"Panoan",1,"Кашинауа","","","","","","","","","",""
